Date,score
2008-01-31,0.6721073389053345
2008-02-29,0.6721073389053345
2008-03-31,0.6721073389053345
2008-04-30,0.8442093729972839
2008-05-31,0.8442093729972839
2008-06-30,0.8442093729972839
2008-07-31,0.9173141121864319
2008-08-31,0.9173141121864319
2008-09-30,0.9173141121864319
2008-10-31,0.9173141121864319
2008-11-30,0.9173141121864319
2008-12-31,0.9173141121864319
2009-01-31,0.44351106882095337
2009-02-28,0.44351106882095337
2009-03-31,0.44351106882095337
2009-04-30,0.8732485175132751
2009-05-31,0.8732485175132751
2009-06-30,0.8732485175132751
2009-07-31,0.8732485175132751
2009-08-31,0.8982027173042297
2009-09-30,0.8982027173042297
2009-10-31,0.8982027173042297
2009-11-30,0.8982027173042297
2009-12-31,0.8982027173042297
2010-01-31,0.9374518394470215
2010-02-28,0.9374518394470215
2010-03-31,0.9374518394470215
2010-04-30,0.7140132784843445
2010-05-31,0.7123586535453796
2010-06-30,0.6574177145957947
2010-07-31,0.6574177145957947
2010-08-31,0.6574177145957947
2010-09-30,0.9438781142234802
2010-10-31,0.9438781142234802
2010-11-30,0.9438781142234802
2010-12-31,0.9438781142234802
2011-01-31,0.9438781142234802
2011-02-28,0.9438781142234802
2011-03-31,0.9438781142234802
2011-04-30,0.9438781142234802
2011-05-31,0.9438781142234802
2011-06-30,0.9438781142234802
2011-07-31,0.7945114374160767
2011-08-31,0.8520404100418091
2011-09-30,0.8520404100418091
2011-10-31,0.8520404100418091
2011-11-30,0.8520404100418091
2011-12-31,0.8520404100418091
2012-01-31,0.793380856513977
2012-02-29,0.793380856513977
2012-03-31,0.793380856513977
2012-04-30,0.793380856513977
2012-05-31,0.793380856513977
2012-06-30,0.793380856513977
2012-07-31,0.9675657153129578
2012-08-31,0.9675657153129578
2012-09-30,0.9675657153129578
2012-10-31,0.9675657153129578
2012-11-30,0.9675657153129578
2012-12-31,0.8499228954315186
2013-01-31,0.9592171311378479
2013-02-28,0.9592171311378479
2013-03-31,0.9592171311378479
2013-04-30,0.9592171311378479
2013-05-31,0.5815707147121429
2013-06-30,0.5815707147121429
2013-07-31,0.9386976957321167
2013-08-31,0.9386976957321167
2013-09-30,0.9386976957321167
2013-10-31,0.9386976957321167
2013-11-30,0.9386976957321167
2013-12-31,0.9386976957321167
2014-01-31,0.9386976957321167
2014-02-28,0.9042494297027588
2014-03-31,0.9042494297027588
2014-04-30,0.9042494297027588
2014-05-31,0.7146969437599182
2014-06-30,0.9157305359840393
2014-07-31,0.9157305359840393
2014-08-31,0.911610871553421
2014-09-30,0.911610871553421
2014-10-31,0.7342952887217203
2014-11-30,0.9177784323692322
2014-12-31,0.9177784323692322
2015-01-31,0.8456356525421143
2015-02-28,0.8456356525421143
2015-03-31,0.8119357824325562
2015-04-30,0.9296258687973022
2015-05-31,0.9296258687973022
2015-06-30,0.5942330956459045
2015-07-31,0.9721578359603882
2015-08-31,0.6841903626918793
2015-09-30,0.860714316368103
2015-10-31,0.7506964802742004
2015-11-30,0.8736223578453064
2015-12-31,0.8736223578453064
2016-01-31,0.9751689434051514
2016-02-29,0.7514206878840923
2016-03-31,0.829192076410566
2016-04-30,0.9340694099664688
2016-05-31,0.8304615219434103
2016-06-30,0.9138381282488505
2016-07-31,0.9471758902072906
2016-08-31,0.9139508605003357
2016-09-30,0.7525288065274557
2016-10-31,0.9284327030181885
2016-11-30,0.9284327030181885
2016-12-31,0.5575633645057678
2017-01-31,0.8898065090179443
2017-02-28,0.8898065090179443
2017-03-31,0.7777947783470154
2017-04-30,0.9081946611404419
2017-05-31,0.9314480721950531
2017-06-30,0.9396191835403442
2017-07-31,0.8071229457855225
2017-08-31,0.7872061729431152
2017-09-30,0.725576639175415
2017-10-31,0.8957231342792511
2017-11-30,0.7618044217427572
2017-12-31,0.587946891784668
2018-01-31,0.7303699553012848
2018-02-28,0.8074321746826172
2018-03-31,0.9012317061424255
2018-04-30,0.9012317061424255
2018-05-31,0.7695022026697794
2018-06-30,0.8074208348989487
2018-07-31,0.8261536657810211
2018-08-31,0.8118765787644819
2018-09-30,0.7714813152949015
2018-10-31,0.819657027721405
2018-11-30,0.909078860282898
2018-12-31,0.7822829112410545
2019-01-31,0.8716990672625028
2019-02-28,0.7784494730559263
2019-03-31,0.8254154287278652
2019-04-30,0.7856127573893621
2019-05-31,0.8488681390881538
2019-06-30,0.7680128301892962
2019-07-31,0.8082083165645599
2019-08-31,0.8778438568115234
2019-09-30,0.7578186430037022
2019-10-31,0.8938179810841879
2019-11-30,0.7459702068253568
2019-12-31,0.9027295878955296
2020-01-31,0.8573532303174337
2020-02-29,0.9300543367862701
2020-03-31,0.7366886351789746
2020-04-30,0.8751465519269307
2020-05-31,0.758590817451477
2020-06-30,0.806001132184809
2020-07-31,0.7172562330961227
2020-08-31,0.7623992008822305
2020-09-30,0.7038253332887378
2020-10-31,0.7193351749862943
2020-11-30,0.7499995529651642
2020-12-31,0.7563799619674683
2021-01-31,0.7689198530637301
2021-02-28,0.7115825414657593
2021-03-31,0.7160045146942139
2021-04-30,0.7448739760062274
2021-05-31,0.7087779239966319
2021-06-30,0.7579784591992696
2021-07-31,0.7254663961274284
2021-08-31,0.741868277390798
2021-09-30,0.7755012651284535
2021-10-31,0.8034841418266296
2021-11-30,0.7469774058886937
2021-12-31,0.845379271290519
2022-01-31,0.7288396869386945
2022-02-28,0.8126938164234161
2022-03-31,0.7423831847580996
2022-04-30,0.7426373660564423
2022-05-31,0.775468111038208
2022-06-30,0.7143118934971946
2022-07-31,0.7927924394607544
2022-08-31,0.8605030179023743
2022-09-30,0.786668561398983
2022-10-31,0.8987346322912919
2022-11-30,0.8450014103542675
2022-12-31,0.867628526687622
2023-01-31,0.7269317060709
2023-02-28,0.9057671257427761
2023-03-31,0.8290871381759644
2023-04-30,0.8406198918819427
2023-05-31,0.7769756764173508
2023-06-30,0.7999522268772126
2023-07-31,0.8965470790863037
2023-08-31,0.8677913546562195
2023-09-30,0.8055482401567347
2023-10-31,0.8105856137616294
2023-11-30,0.8342867195606232
2023-12-31,0.7291786521673203
2024-01-31,0.7863906919956207
2024-02-29,0.8177139716488975
2024-03-31,0.7910597866231744
2024-04-30,0.8020037846131758
2024-05-31,0.7502814282973608
2024-06-30,0.7894543674257066
2024-07-31,0.881350804458965
2024-08-31,0.8339691440264384
2024-09-30,0.788390648992438
2024-10-31,0.8360556438565254
2024-11-30,0.8255413439538744
2024-12-31,0.8521513789892197
2025-01-31,0.794863556822141
2025-02-28,0.7525829443564782
2025-03-31,0.787990694696253
2025-04-30,0.8465691592012133
